,files,classes
0,casual_649.png,0
1,casual_365.png,0
2,casual_327.png,0
3,casual_395.png,0
4,casual_29.png,0
5,casual_238.png,0
6,casual_948.png,0
7,casual_764.png,0
8,casual_672.png,0
9,casual_299.png,0
10,casual_410.png,0
11,casual_277.png,0
12,casual_643.png,0
13,casual_531.png,0
14,casual_495.png,0
15,casual_984.png,0
16,casual_582.png,0
17,casual_770.png,0
18,casual_425.png,0
19,casual_797.png,0
20,casual_605.png,0
21,casual_702.png,0
22,casual_522.png,0
23,casual_523.png,0
24,casual_596.png,0
25,casual_501.png,0
26,casual_665.png,0
27,casual_778.png,0
28,casual_103.png,0
29,casual_657.png,0
30,casual_208.png,0
31,casual_558.png,0
32,casual_348.png,0
33,casual_357.png,0
34,casual_743.png,0
35,casual_424.png,0
36,casual_204.png,0
37,casual_957.png,0
38,casual_606.png,0
39,casual_398.png,0
40,casual_678.png,0
41,casual_628.png,0
42,casual_551.png,0
43,casual_315.png,0
44,casual_175.png,0
45,casual_994.png,0
46,casual_128.png,0
47,casual_500.png,0
48,casual_869.png,0
49,casual_186.png,0
50,casual_168.png,0
51,casual_718.png,0
52,casual_814.png,0
53,casual_820.png,0
54,casual_949.png,0
55,casual_13.png,0
56,casual_101.png,0
57,casual_221.png,0
58,casual_49.png,0
59,casual_359.png,0
60,casual_779.png,0
61,casual_616.png,0
62,casual_381.png,0
63,casual_599.png,0
64,casual_720.png,0
65,casual_336.png,0
66,casual_646.png,0
67,casual_518.png,0
68,casual_427.png,0
69,casual_534.png,0
70,casual_376.png,0
71,casual_780.png,0
72,casual_614.png,0
73,casual_102.png,0
74,casual_107.png,0
75,casual_653.png,0
76,casual_709.png,0
77,casual_450.png,0
78,casual_333.png,0
79,casual_482.png,0
80,casual_379.png,0
81,casual_290.png,0
82,casual_237.png,0
83,casual_181.png,0
84,casual_6.png,0
85,casual_982.png,0
86,casual_597.png,0
87,casual_62.png,0
88,casual_793.png,0
89,casual_444.png,0
90,casual_510.png,0
91,casual_454.png,0
92,casual_872.png,0
93,casual_591.png,0
94,casual_908.png,0
95,casual_459.png,0
96,casual_432.png,0
97,casual_714.png,0
98,casual_983.png,0
99,casual_834.png,0
100,casual_200.png,0
101,casual_857.png,0
102,casual_925.png,0
103,casual_570.png,0
104,casual_509.png,0
105,casual_118.png,0
106,casual_85.png,0
107,casual_124.png,0
108,casual_406.png,0
109,casual_380.png,0
110,casual_576.png,0
111,casual_307.png,0
112,casual_352.png,0
113,casual_508.png,0
114,casual_214.png,0
115,casual_788.png,0
116,casual_931.png,0
117,casual_530.png,0
118,casual_995.png,0
119,casual_288.png,0
120,casual_120.png,0
121,casual_260.png,0
122,casual_909.png,0
123,casual_275.png,0
124,casual_413.png,0
125,casual_251.png,0
126,casual_329.png,0
127,casual_216.png,0
128,casual_713.png,0
129,casual_568.png,0
130,casual_668.png,0
131,casual_183.png,0
132,casual_19.png,0
133,casual_585.png,0
134,casual_231.png,0
135,casual_404.png,0
136,casual_116.png,0
137,casual_164.png,0
138,casual_891.png,0
139,casual_865.png,0
140,casual_499.png,0
141,casual_792.png,0
142,casual_109.png,0
143,casual_757.png,0
144,casual_805.png,0
145,casual_367.png,0
146,casual_737.png,0
147,casual_631.png,0
148,casual_484.png,0
149,casual_139.png,0
150,casual_190.png,0
151,casual_23.png,0
152,casual_917.png,0
153,casual_615.png,0
154,casual_319.png,0
155,casual_970.png,0
156,casual_160.png,0
157,casual_736.png,0
158,casual_760.png,0
159,casual_700.png,0
160,casual_556.png,0
161,casual_535.png,0
162,casual_15.png,0
163,casual_839.png,0
164,casual_914.png,0
165,casual_172.png,0
166,casual_189.png,0
167,casual_618.png,0
168,casual_383.png,0
169,casual_604.png,0
170,casual_694.png,0
171,casual_512.png,0
172,casual_446.png,0
173,casual_578.png,0
174,casual_541.png,0
175,casual_658.png,0
176,casual_146.png,0
177,casual_729.png,0
178,casual_40.png,0
179,casual_477.png,0
180,casual_634.png,0
181,casual_96.png,0
182,casual_884.png,0
183,casual_83.png,0
184,casual_750.png,0
185,casual_955.png,0
186,casual_316.png,0
187,casual_391.png,0
188,casual_143.png,0
189,casual_73.png,0
190,casual_463.png,0
191,casual_462.png,0
192,casual_947.png,0
193,casual_195.png,0
194,casual_999.png,0
195,casual_123.png,0
196,casual_861.png,0
197,casual_684.png,0
198,casual_747.png,0
199,casual_571.png,0
200,casual_392.png,0
201,casual_93.png,0
202,casual_461.png,0
203,casual_986.png,0
204,casual_826.png,0
205,casual_756.png,0
206,casual_137.png,0
207,casual_683.png,0
208,casual_16.png,0
209,casual_487.png,0
210,casual_776.png,0
211,casual_142.png,0
212,casual_324.png,0
213,casual_816.png,0
214,casual_959.png,0
215,casual_449.png,0
216,casual_133.png,0
217,casual_296.png,0
218,casual_922.png,0
219,casual_2.png,0
220,casual_134.png,0
221,casual_795.png,0
222,casual_592.png,0
223,casual_217.png,0
224,casual_881.png,0
225,casual_247.png,0
226,casual_880.png,0
227,casual_234.png,0
228,casual_691.png,0
229,casual_131.png,0
230,casual_297.png,0
231,casual_716.png,0
232,casual_476.png,0
233,casual_828.png,0
234,casual_150.png,0
235,casual_423.png,0
236,casual_279.png,0
237,casual_51.png,0
238,casual_162.png,0
239,casual_209.png,0
240,casual_378.png,0
241,casual_794.png,0
242,casual_549.png,0
243,casual_610.png,0
244,casual_889.png,0
245,casual_428.png,0
246,casual_241.png,0
247,casual_690.png,0
248,casual_498.png,0
249,casual_613.png,0
250,casual_938.png,0
251,casual_17.png,0
252,casual_752.png,0
253,casual_784.png,0
254,casual_317.png,0
255,casual_888.png,0
256,casual_546.png,0
257,casual_936.png,0
258,casual_202.png,0
259,casual_656.png,0
260,casual_99.png,0
261,casual_987.png,0
262,casual_89.png,0
263,casual_926.png,0
264,casual_612.png,0
265,casual_169.png,0
266,casual_662.png,0
267,casual_836.png,0
268,casual_3.png,0
269,casual_270.png,0
270,casual_385.png,0
271,casual_969.png,0
272,casual_952.png,0
273,casual_930.png,0
274,casual_807.png,0
275,casual_746.png,0
276,casual_249.png,0
277,casual_471.png,0
